Driver,Total_Free,Total_Busy,Total_Fare,Total_Journeys,Total_Distance,Utilisation
b61ed5928e0942a6af84488706b15b66,18,104,22,8,99,5.777777777777778
609907deef7041efa4cd734f608b6d69,62,87,78,20,29,1.403225806451613
1b65b18a4bc245f5b9e219c50b295db9,4,2,91,22,46,0.5
575e39421da54c549147082743399083,13,47,32,25,94,3.6153846153846154
c4fd78ede16b44f795812467560efea0,38,102,13,13,46,2.6842105263157894
7925c160985540d4ae41dd9ad19cd82c,119,71,68,23,57,0.5966386554621849
2450b024802940598022b43cba9743a7,79,21,89,19,66,0.26582278481012656
08a915ac5d424bb498dd0c82a8fde754,94,71,52,2,40,0.7553191489361702
df1ac76aeae344b588a12b1c6b3bfae3,49,91,4,23,9,1.8571428571428572
197558827c5d4590a7d70feca2734345,7,7,86,16,40,1.0
